call_id,customer_id,priority,type,date,ivr_in,ivr_out,ivr_time,q_start,q_exit,q_time,outcome,agent_start,agent_exit,ser_time,agent_id
33355,0,0,PS,990101,12:40:01,12:40:09,8,00:00:00,00:00:00,0,AGENT,12:40:09,12:42:55,166,3
33356,0,0,NW,990101,13:00:58,13:01:10,12,00:00:00,00:00:00,0,AGENT,13:01:10,13:02:25,75,3
32429,28516995,1,PS,990101,08:11:53,08:11:59,6,08:11:59,08:12:42,43,AGENT,08:12:41,08:14:11,90,3
32431,0,0,PS,990101,08:33:58,08:34:08,10,00:00:00,00:00:00,0,AGENT,08:34:06,08:35:36,90,3
32436,0,0,PS,990101,09:34:56,09:35:06,10,00:00:00,00:00:00,0,AGENT,09:35:05,09:36:25,80,3
33153,0,0,PS,990101,10:11:34,10:11:44,10,00:00:00,00:00:00,0,AGENT,10:11:42,10:18:17,395,3
33154,6459051,2,PS,990101,10:28:06,10:28:12,6,10:28:12,10:29:45,93,AGENT,10:29:44,10:40:17,633,3
32048,0,0,PS,990101,13:03:06,13:03:15,9,00:00:00,00:00:00,0,AGENT,13:03:14,13:05:59,165,3
33519,0,0,PS,990101,09:37:08,09:37:17,9,00:00:00,00:00:00,0,AGENT,09:37:16,09:37:55,39,3
33526,0,0,PS,990101,11:03:41,11:03:51,10,00:00:00,00:00:00,0,AGENT,11:03:50,11:05:29,99,3
33533,0,0,NW,990101,13:05:35,13:05:44,9,13:05:44,13:06:06,22,AGENT,13:06:05,13:10:52,287,3
34178,0,0,PS,990101,08:14:55,08:15:08,13,00:00:00,00:00:00,0,AGENT,08:15:07,08:29:23,856,3
34180,0,0,PS,990101,08:37:11,08:37:20,9,00:00:00,00:00:00,0,AGENT,08:37:19,08:52:12,893,3
34190,31390545,1,PS,990101,10:45:43,10:45:48,5,10:45:48,10:46:00,12,AGENT,10:45:59,10:46:13,14,3
34196,0,0,NW,990101,12:23:28,12:23:40,12,00:00:00,00:00:00,0,AGENT,12:23:40,12:24:57,77,3
34197,0,0,PS,990101,12:45:12,12:45:27,15,00:00:00,00:00:00,0,AGENT,12:45:27,12:48:41,194,3
34198,3667532,2,PS,990101,13:07:35,13:07:41,6,13:07:41,13:11:01,200,AGENT,13:11:00,13:19:13,493,3
34199,0,0,PS,990101,13:33:40,13:33:49,9,00:00:00,00:00:00,0,AGENT,13:33:48,13:34:58,70,3
31004,0,0,PS,990101,09:02:07,09:02:16,9,00:00:00,00:00:00,0,AGENT,09:02:15,09:04:38,143,3
31006,0,0,PS,990101,09:25:46,09:26:00,14,00:00:00,00:00:00,0,AGENT,09:25:58,09:27:54,116,3
31012,42943100,2,PS,990101,10:46:14,10:46:19,5,10:46:19,10:46:32,13,AGENT,10:46:31,10:49:23,172,3
12020,58473455,2,PS,990101,13:34:48,13:34:53,5,13:34:53,13:36:41,108,AGENT,13:36:39,14:01:17,1478,3
12080,0,0,PS,990101,10:52:54,10:53:06,12,00:00:00,00:00:00,0,AGENT,10:53:05,10:55:11,126,3
12083,24208852,2,PS,990101,11:36:23,11:36:29,6,11:36:29,11:36:38,9,AGENT,11:36:37,11:54:05,1048,3
11625,0,0,PS,990101,08:02:36,08:02:47,11,00:00:00,00:00:00,0,AGENT,08:02:45,08:03:59,74,3
11630,53435202,2,PS,990101,09:03:10,09:03:15,5,09:03:15,09:04:43,88,AGENT,09:04:42,09:19:41,899,3
11634,0,0,NW,990101,09:41:02,09:41:15,13,00:00:00,00:00:00,0,AGENT,09:41:14,09:48:41,447,3
11635,41665142,1,PS,990101,09:47:46,09:47:52,6,09:47:52,09:48:57,65,AGENT,09:48:56,10:10:58,1322,3
11640,0,0,PS,990101,11:07:29,11:07:39,10,00:00:00,00:00:00,0,AGENT,11:07:37,11:24:21,1004,3
11645,0,0,PS,990101,12:26:23,12:26:32,9,00:00:00,00:00:00,0,AGENT,12:26:31,12:27:17,46,3
11646,0,0,PS,990101,12:50:07,12:50:18,11,00:00:00,00:00:00,0,AGENT,12:50:17,12:51:40,83,3
11648,29602505,2,PS,990101,13:34:39,13:34:45,6,13:34:45,13:35:09,24,AGENT,13:35:09,13:36:35,86,3
33119,0,0,PS,990101,07:41:16,07:41:26,10,00:00:00,00:00:00,0,AGENT,07:41:25,07:44:53,208,4
33124,0,0,PS,990101,08:52:52,08:53:06,14,00:00:00,00:00:00,0,AGENT,08:53:05,08:54:38,93,4
33128,59669259,1,PS,990101,09:41:14,09:41:20,6,09:41:20,09:41:46,26,AGENT,09:41:45,09:42:19,34,4
33132,0,0,PS,990101,10:35:08,10:35:28,20,00:00:00,00:00:00,0,AGENT,10:35:26,10:36:19,53,4
33133,24290983,2,PS,990101,10:48:44,10:48:49,5,10:48:49,10:49:17,28,AGENT,10:49:17,11:01:22,725,4
33136,50698984,2,PS,990101,11:35:18,11:35:23,5,11:35:23,11:36:15,52,AGENT,11:36:15,11:38:14,119,4
28434,29641727,2,PS,990101,09:42:01,09:42:07,6,09:42:07,09:42:24,17,AGENT,09:42:23,09:43:14,51,4
28445,0,0,PS,990101,12:27:55,12:28:04,9,00:00:00,00:00:00,0,AGENT,12:28:03,12:29:32,89,4
24046,0,0,PS,990101,09:30:05,09:30:20,15,00:00:00,00:00:00,0,AGENT,09:30:18,09:32:20,122,4
24047,15441082,2,PS,990101,09:43:01,09:43:06,5,09:43:06,09:43:19,13,AGENT,09:43:19,09:45:01,102,4
24050,0,0,PS,990101,10:27:26,10:27:41,15,00:00:00,00:00:00,0,AGENT,10:27:40,10:35:04,444,4
24057,57882755,2,PS,990101,12:13:00,12:13:06,6,12:13:06,12:13:10,4,AGENT,12:13:09,12:14:28,79,4
20697,0,0,PS,990101,07:09:22,07:09:34,12,00:00:00,00:00:00,0,AGENT,07:09:33,07:10:38,65,4
20700,0,0,PS,990101,08:20:02,08:20:11,9,00:00:00,00:00:00,0,AGENT,08:20:10,08:21:30,80,4
20703,0,0,NW,990101,08:54:57,08:55:09,12,00:00:00,00:00:00,0,AGENT,08:55:08,08:55:48,40,4
20704,56051360,2,PS,990101,09:07:08,09:07:14,6,09:07:14,09:07:20,6,AGENT,09:07:19,09:11:27,248,4
20713,0,0,PS,990101,11:11:12,11:11:21,9,00:00:00,00:00:00,0,AGENT,11:11:20,11:14:50,210,4
20714,0,0,NW,990101,11:27:21,11:27:36,15,00:00:00,00:00:00,0,AGENT,11:27:35,11:28:52,77,4
33291,4654307,2,PS,990101,07:09:42,07:09:48,6,07:09:48,07:11:06,78,AGENT,07:11:06,07:12:21,75,4
33292,29605961,1,PS,990101,07:43:47,07:43:53,6,07:43:53,07:44:58,65,AGENT,07:44:57,07:46:23,86,4
33298,0,0,PS,990101,09:06:07,09:06:20,13,00:00:00,00:00:00,0,AGENT,09:06:18,09:07:02,44,4
34062,54970835,2,PS,990101,08:55:36,08:55:42,6,08:55:42,08:55:54,12,AGENT,08:55:53,08:56:32,39,4
34067,0,0,PS,990101,09:54:46,09:55:04,18,00:00:00,00:00:00,0,AGENT,09:55:04,09:56:06,62,4
34074,33775503,1,PS,990101,11:37:56,11:38:01,5,11:38:01,11:38:19,18,AGENT,11:38:19,11:54:01,942,4
2025,53902169,2,TT,990101,10:20:44,10:20:47,3,00:00:00,00:00:00,0,AGENT,10:20:45,10:20:56,11,4
2026,29721743,1,TT,990101,12:06:01,12:06:03,2,00:00:00,00:00:00,0,AGENT,12:06:02,12:06:08,6,4
1169,31759814,1,TT,990101,07:05:06,07:05:09,3,00:00:00,00:00:00,0,AGENT,07:05:08,07:05:08,0,4
27872,0,0,PS,990101,08:09:18,08:09:29,11,00:00:00,00:00:00,0,AGENT,08:09:28,08:13:29,241,4
27873,13346390,2,PS,990101,08:20:09,08:20:15,6,08:20:15,08:21:35,80,AGENT,08:21:34,08:35:48,854,4
27876,0,0,NW,990101,08:55:48,08:55:58,10,08:55:58,08:56:38,40,AGENT,08:56:37,08:58:30,113,4
27882,0,0,PS,990101,10:11:05,10:11:15,10,00:00:00,00:00:00,0,AGENT,10:11:15,10:19:23,488,4
27890,0,0,PS,990101,12:16:31,12:16:41,10,00:00:00,00:00:00,0,AGENT,12:16:40,12:17:43,63,4
27486,0,0,PS,990101,07:48:12,07:48:25,13,00:00:00,00:00:00,0,AGENT,07:48:24,07:50:06,102,4
27493,0,0,PS,990101,09:21:13,09:21:23,10,00:00:00,00:00:00,0,AGENT,09:21:23,09:22:39,76,4
27494,847012,2,PS,990101,09:31:47,09:31:52,5,09:31:52,09:32:25,33,AGENT,09:32:24,09:34:12,108,4
12078,0,0,PS,990101,07:21:12,07:21:23,11,00:00:00,00:00:00,0,AGENT,07:21:23,07:28:26,423,4
12095,0,0,PS,990101,11:30:32,11:30:41,9,00:00:00,00:00:00,0,AGENT,11:30:39,11:32:23,104,4
33340,0,0,NW,990101,08:57:24,08:57:33,9,08:57:33,08:58:41,68,AGENT,08:58:40,08:59:56,76,4
33343,306886417,1,PS,990101,09:32:01,09:32:07,6,09:32:07,09:34:17,130,AGENT,09:34:16,09:37:02,166,4
33345,0,0,PS,990101,09:59:13,09:59:30,17,00:00:00,00:00:00,0,AGENT,09:59:29,10:00:36,67,4
32434,31918642,2,PS,990101,09:11:21,09:11:26,5,09:11:26,09:11:32,6,AGENT,09:11:31,09:12:39,68,4
32437,31780224,1,PS,990101,09:45:04,09:45:10,6,09:45:10,09:45:44,34,AGENT,09:45:44,09:46:59,75,4
32441,0,0,PS,990101,10:44:44,10:44:58,14,00:00:00,00:00:00,0,AGENT,10:44:57,10:49:10,253,4
32442,0,0,PS,990101,11:02:13,11:02:22,9,00:00:00,00:00:00,0,AGENT,11:02:21,11:03:18,57,4
32446,0,0,NW,990101,12:00:50,12:01:03,13,00:00:00,00:00:00,0,AGENT,12:01:03,12:01:38,35,4
33142,0,0,PS,990101,07:51:02,07:51:12,10,00:00:00,00:00:00,0,AGENT,07:51:11,07:54:44,213,4
33149,55352041,1,PS,990101,09:22:53,09:22:58,5,09:22:58,09:23:31,33,AGENT,09:23:29,09:25:48,139,4
33151,22624019,1,PS,990101,09:44:40,09:44:46,6,09:44:46,09:45:06,20,AGENT,09:45:05,09:45:40,35,4
33155,0,0,PS,990101,10:43:01,10:43:13,12,00:00:00,00:00:00,0,AGENT,10:43:12,10:44:08,56,4
32026,0,0,PS,990101,07:30:54,07:31:03,9,00:00:00,00:00:00,0,AGENT,07:31:02,07:31:20,18,4
32028,67472811,1,PS,990101,08:13:09,08:13:15,6,08:13:15,08:13:35,20,AGENT,08:13:35,08:14:31,56,4
32042,0,0,PS,990101,11:16:37,11:16:48,11,00:00:00,00:00:00,0,AGENT,11:16:47,11:21:08,261,4
32047,0,0,PS,990101,12:40:58,12:41:08,10,00:00:00,00:00:00,0,AGENT,12:41:07,12:43:22,135,4
33521,54196217,2,PS,990101,10:00:33,10:00:39,6,10:00:39,10:00:42,3,AGENT,10:00:41,10:02:11,90,4
34182,0,0,PS,990101,09:01:52,09:02:04,12,00:00:00,00:00:00,0,AGENT,09:02:02,09:05:43,221,4
34186,56761802,1,PS,990101,09:46:39,09:46:44,5,09:46:44,09:47:04,20,AGENT,09:47:03,09:52:22,319,4
34195,0,0,PS,990101,12:02:54,12:03:09,15,00:00:00,00:00:00,0,AGENT,12:03:07,12:04:06,59,4
31000,0,0,PS,990101,08:15:07,08:15:16,9,00:00:00,00:00:00,0,AGENT,08:15:14,08:19:56,282,4
31002,0,0,PS,990101,08:37:34,08:37:44,10,00:00:00,00:00:00,0,AGENT,08:37:43,08:40:46,183,4
31007,0,0,PS,990101,09:39:16,09:39:30,14,00:00:00,00:00:00,0,AGENT,09:39:29,09:40:24,55,4
31013,0,0,PS,990101,11:06:00,11:06:10,10,00:00:00,00:00:00,0,AGENT,11:06:09,11:09:40,211,4
31015,58640053,1,PS,990101,11:32:23,11:32:28,5,11:32:28,11:32:38,10,AGENT,11:32:37,11:36:11,214,4
30716,0,0,PS,990101,07:32:44,07:32:56,12,00:00:00,00:00:00,0,AGENT,07:32:56,07:34:20,84,4
30717,0,0,PS,990101,07:58:12,07:58:21,9,00:00:00,00:00:00,0,AGENT,07:58:20,08:21:33,1393,4
30723,0,0,PS,990101,09:13:44,09:13:55,11,00:00:00,00:00:00,0,AGENT,09:13:53,09:19:40,347,4
30727,0,0,PS,990101,10:03:33,10:03:48,15,00:00:00,00:00:00,0,AGENT,10:03:47,10:09:24,337,4
30735,0,0,PS,990101,12:08:45,12:08:55,10,00:00:00,00:00:00,0,AGENT,12:08:54,12:12:56,242,4
30736,0,0,PS,990101,12:25:17,12:25:28,11,00:00:00,00:00:00,0,AGENT,12:25:27,12:26:30,63,4
11997,0,0,PS,990101,07:34:41,07:34:50,9,00:00:00,00:00:00,0,AGENT,07:34:50,07:36:32,102,4
12002,0,0,PS,990101,08:51:32,08:51:42,10,00:00:00,00:00:00,0,AGENT,08:51:41,08:52:42,61,4
12006,0,0,PS,990101,09:40:53,09:41:03,10,00:00:00,00:00:00,0,AGENT,09:41:01,09:41:41,40,4
12079,0,0,PS,990101,10:37:25,10:37:40,15,00:00:00,00:00:00,0,AGENT,10:37:40,10:38:21,41,4
12084,8533895,2,PS,990101,11:50:33,11:50:38,5,11:50:38,11:50:46,8,AGENT,11:50:45,12:00:12,567,4
12087,0,0,PS,990101,12:50:20,12:50:35,15,00:00:00,00:00:00,0,AGENT,12:50:34,13:00:15,581,4
11641,0,0,PS,990101,11:23:57,11:24:11,14,00:00:00,00:00:00,0,AGENT,11:24:11,11:24:54,43,4
33152,0,0,PS,990102,20:36:05,20:36:12,7,00:00:00,00:00:00,0,AGENT,20:36:12,20:37:27,75,3
33154,0,0,PS,990102,21:30:13,21:30:22,9,00:00:00,00:00:00,0,AGENT,21:30:21,21:38:00,459,3
28457,0,0,PS,990102,20:45:22,20:45:30,8,00:00:00,00:00:00,0,AGENT,20:45:30,20:47:08,98,3
28463,59680363,1,PS,990102,23:50:17,23:50:23,6,23:50:23,23:51:08,45,AGENT,23:51:07,23:52:11,64,3
24066,0,0,PS,990102,19:12:50,19:13:00,10,00:00:00,00:00:00,0,AGENT,19:12:59,19:15:45,166,3
24070,0,0,PS,990102,20:53:11,20:53:20,9,00:00:00,00:00:00,0,AGENT,20:53:19,20:59:06,347,3
33326,0,0,PS,990102,21:20:41,21:20:49,8,00:00:00,00:00:00,0,AGENT,21:20:49,21:23:31,162,3
33330,0,0,PS,990102,23:30:19,23:30:28,9,00:00:00,00:00:00,0,AGENT,23:30:28,23:32:19,111,3
34088,0,0,NW,990102,19:54:15,19:54:24,9,19:54:24,19:54:50,26,AGENT,19:54:49,19:59:22,273,3
27523,0,0,PS,990102,22:03:21,22:03:30,9,00:00:00,00:00:00,0,AGENT,22:03:29,22:21:21,1072,3
27524,0,0,PS,990102,22:44:56,22:45:05,9,00:00:00,00:00:00,0,AGENT,22:45:04,22:48:29,205,3
27526,0,0,PS,990102,23:48:24,23:48:34,10,00:00:00,00:00:00,0,AGENT,23:48:33,23:51:03,150,3
1560,0,0,TT,990102,19:12:23,19:12:25,2,00:00:00,00:00:00,0,AGENT,19:12:24,19:12:24,0,3
1561,54583281,1,TT,990102,21:18:32,21:18:33,1,00:00:00,00:00:00,0,AGENT,21:18:33,21:20:04,91,3
12106,10603553,2,PS,990102,19:01:26,19:01:32,6,19:01:32,19:01:44,12,AGENT,19:01:43,19:04:31,168,3
12107,0,0,PS,990102,19:23:30,19:23:38,8,00:00:00,00:00:00,0,AGENT,00:00:00,00:00:00,0,3
12111,0,0,NW,990102,21:00:19,21:00:31,12,00:00:00,00:00:00,0,AGENT,21:00:30,21:04:54,264,3
12112,0,0,PS,990102,21:25:05,21:25:14,9,00:00:00,00:00:00,0,AGENT,21:25:13,21:29:01,228,3
12113,0,0,PS,990102,21:53:52,21:54:01,9,00:00:00,00:00:00,0,AGENT,21:54:00,21:57:19,199,3
33363,0,0,PS,990102,19:19:42,19:19:52,10,00:00:00,00:00:00,0,AGENT,19:19:51,19:20:44,53,3
33372,0,0,NW,990102,23:22:15,23:22:25,10,23:22:25,23:22:43,18,AGENT,23:22:42,23:26:09,207,3
32464,0,0,PS,990102,23:16:30,23:16:39,9,00:00:00,00:00:00,0,AGENT,23:16:38,23:22:38,360,3
33169,10395960,2,PS,990102,18:57:45,18:57:51,6,18:57:51,18:58:06,15,AGENT,18:58:05,19:01:39,214,3
33177,0,0,PS,990102,22:24:32,22:24:41,9,00:00:00,00:00:00,0,AGENT,22:24:40,22:27:45,185,3
32057,0,0,PS,990102,19:44:00,19:44:08,8,00:00:00,00:00:00,0,AGENT,19:44:08,19:45:24,76,3
32058,0,0,PS,990102,19:59:39,19:59:49,10,00:00:00,00:00:00,0,AGENT,19:59:47,20:07:51,484,3
33541,0,0,PS,990102,19:46:09,19:46:18,9,00:00:00,00:00:00,0,AGENT,19:46:17,19:53:14,417,3
33549,0,0,PS,990102,23:41:10,23:41:18,8,00:00:00,00:00:00,0,AGENT,23:41:18,23:44:40,202,3
34211,0,0,PS,990102,22:01:22,22:01:31,9,00:00:00,00:00:00,0,AGENT,22:01:30,22:02:29,59,3
34212,0,0,PS,990102,22:40:25,22:40:35,10,00:00:00,00:00:00,0,AGENT,22:40:34,22:43:04,150,3
31030,0,0,PS,990102,20:09:03,20:09:11,8,00:00:00,00:00:00,0,AGENT,20:09:11,20:14:11,300,3
31031,0,0,PS,990102,20:42:10,20:42:20,10,00:00:00,00:00:00,0,AGENT,20:42:18,20:44:25,127,3
31037,0,0,PS,990102,23:45:01,23:45:11,10,00:00:00,00:00:00,0,AGENT,23:45:10,23:46:25,75,3
30749,0,0,PS,990102,21:05:15,21:05:24,9,00:00:00,00:00:00,0,AGENT,21:05:23,21:17:08,705,3
30752,0,0,PS,990102,22:32:22,22:32:38,16,00:00:00,00:00:00,0,AGENT,22:32:37,22:34:20,103,3
12029,0,0,PS,990102,20:47:56,20:48:05,9,00:00:00,00:00:00,0,AGENT,20:48:05,20:50:43,158,3
12031,0,0,PS,990102,21:39:34,21:39:42,8,00:00:00,00:00:00,0,AGENT,21:39:42,21:46:11,389,3
12033,0,0,PS,990102,22:54:03,22:54:13,10,00:00:00,00:00:00,0,AGENT,22:54:12,22:55:44,92,3
12034,305841363,1,PS,990102,23:25:12,23:25:17,5,23:25:17,23:26:21,64,AGENT,23:26:20,23:29:31,191,3
33212,0,0,PS,990103,14:47:22,14:47:40,18,00:00:00,00:00:00,0,AGENT,14:47:39,14:49:57,138,1
33230,0,0,PS,990103,20:49:29,20:49:47,18,00:00:00,00:00:00,0,AGENT,20:49:46,20:51:25,99,1
28539,0,0,NW,990103,17:02:50,17:02:59,9,17:02:59,17:04:11,72,AGENT,17:04:10,17:04:41,31,1
28549,0,0,PS,990103,18:12:50,18:13:05,15,00:00:00,00:00:00,0,AGENT,18:13:04,18:15:11,127,1
24150,0,0,NW,990103,16:56:29,16:56:38,9,16:56:38,16:59:51,193,AGENT,16:59:50,17:01:03,73,1
24163,0,0,PS,990103,18:33:07,18:33:18,11,00:00:00,00:00:00,0,AGENT,18:33:17,18:39:50,393,1
24169,0,0,PS,990103,20:02:02,20:02:16,14,00:00:00,00:00:00,0,AGENT,20:02:15,20:04:14,119,1
20789,0,0,PS,990103,14:56:46,14:56:56,10,00:00:00,00:00:00,0,AGENT,14:56:54,15:04:08,434,1
20792,64185333,2,PS,990103,15:19:29,15:19:35,6,15:19:35,15:20:37,62,AGENT,15:20:36,15:22:50,134,1
20795,54128681,2,PS,990103,15:39:27,15:39:32,5,15:39:32,15:41:43,131,AGENT,15:41:43,15:43:49,126,1
20809,0,0,NW,990103,16:51:09,16:51:19,10,16:51:19,16:52:56,97,AGENT,16:52:55,16:53:25,30,1
20832,0,0,PS,990103,20:55:38,20:55:51,13,00:00:00,00:00:00,0,AGENT,20:55:50,20:55:51,1,1
33381,0,0,PS,990103,14:22:41,14:22:53,12,00:00:00,00:00:00,0,AGENT,14:22:52,14:32:10,558,1
33386,8989287,2,PS,990103,15:03:54,15:04:00,6,15:04:00,15:04:25,25,AGENT,15:04:25,15:05:54,89,1
33406,0,0,NW,990103,17:01:07,17:01:15,8,17:01:15,17:02:36,81,AGENT,17:02:34,17:02:53,19,1
33418,0,0,PS,990103,18:46:43,18:46:58,15,00:00:00,00:00:00,0,AGENT,18:46:58,18:49:06,128,1
33419,0,0,PS,990103,18:57:28,18:57:41,13,00:00:00,00:00:00,0,AGENT,18:57:40,19:07:59,619,1
33423,0,0,PS,990103,19:56:21,19:56:35,14,00:00:00,00:00:00,0,AGENT,19:56:33,20:00:22,229,1
33426,0,0,PS,990103,20:34:44,20:34:58,14,00:00:00,00:00:00,0,AGENT,20:34:56,20:38:42,226,1
34144,6692800,2,PS,990103,14:12:13,14:12:19,6,14:12:19,14:12:28,9,AGENT,14:12:27,14:13:57,90,1
34151,0,0,PS,990103,15:10:39,15:10:55,16,00:00:00,00:00:00,0,AGENT,15:10:54,15:13:33,159,1
34175,50892322,2,PS,990103,17:25:11,17:25:16,5,17:25:16,17:25:59,43,AGENT,17:25:58,17:37:11,673,1
34181,24550857,1,PS,990103,18:03:28,18:03:33,5,18:03:33,18:04:39,66,AGENT,18:04:38,18:06:53,135,1
34191,0,0,PS,990103,20:17:55,20:18:12,17,00:00:00,00:00:00,0,AGENT,20:18:11,20:21:27,196,1
34192,0,0,PS,990103,20:32:02,20:32:12,10,00:00:00,00:00:00,0,AGENT,20:32:11,20:33:19,68,1
27992,0,0,PS,990103,18:02:34,18:02:48,14,00:00:00,00:00:00,0,AGENT,18:02:48,18:04:00,72,1
27588,21343348,2,PS,990103,15:53:48,15:53:54,6,15:53:54,15:54:00,6,AGENT,15:53:59,15:54:26,27,1
27589,25073537,1,PS,990103,16:00:14,16:00:20,6,16:00:20,16:00:42,22,AGENT,16:00:41,16:01:18,37,1
27601,53233680,2,PS,990103,17:01:30,17:01:38,8,17:01:38,17:02:58,80,AGENT,17:02:57,17:04:06,69,1
27612,23949225,2,PS,990103,18:15:14,18:15:20,6,18:15:20,18:15:46,26,AGENT,18:15:45,18:19:26,221,1
12168,31834286,1,PS,990103,14:39:26,14:39:32,6,14:39:32,14:39:49,17,AGENT,14:39:47,14:40:31,44,1
12180,0,0,PS,990103,16:12:49,16:13:02,13,00:00:00,00:00:00,0,AGENT,16:13:01,16:21:44,523,1
12191,29680725,1,PS,990103,17:01:07,17:01:13,6,17:01:13,17:01:31,18,AGENT,17:01:30,17:02:30,60,1
12193,0,0,NW,990103,17:12:12,17:12:22,10,17:12:22,17:13:52,90,AGENT,17:13:51,17:14:27,36,1
12206,0,0,PS,990103,19:30:51,19:31:03,12,00:00:00,00:00:00,0,AGENT,19:31:02,19:32:29,87,1
33429,0,0,PS,990103,15:14:44,15:14:59,15,00:00:00,00:00:00,0,AGENT,15:14:57,15:15:00,3,1
33431,50406172,2,PS,990103,15:30:48,15:30:53,5,15:30:53,15:31:16,23,AGENT,15:31:15,15:32:34,79,1
33432,54777958,2,PS,990103,15:37:19,15:37:25,6,15:37:25,15:39:27,122,AGENT,15:39:26,15:41:38,132,1
33451,0,0,NW,990103,17:12:24,17:12:34,10,17:12:34,17:14:33,119,AGENT,17:14:31,17:14:56,25,1
33459,0,0,PS,990103,18:20:05,18:20:17,12,00:00:00,00:00:00,0,AGENT,18:20:16,18:27:19,423,1
32521,58826009,2,PS,990103,15:18:12,15:18:18,6,15:18:18,15:18:42,24,AGENT,15:18:40,15:20:32,112,1
32551,0,0,PS,990103,18:29:45,18:29:59,14,00:00:00,00:00:00,0,AGENT,18:29:59,18:32:11,132,1
32555,0,0,PS,990103,19:33:50,19:34:04,14,00:00:00,00:00:00,0,AGENT,19:34:04,19:42:41,517,1
32556,0,0,PS,990103,19:42:55,19:43:12,17,00:00:00,00:00:00,0,AGENT,19:43:12,19:48:02,290,1
33251,57902546,2,PS,990103,16:53:20,16:53:26,6,16:53:26,16:53:32,6,AGENT,16:53:30,16:59:44,374,1
33261,64614308,2,PS,990103,17:54:06,17:54:12,6,17:54:12,17:55:17,65,AGENT,17:55:16,17:55:53,37,1
33264,53248373,2,PS,990103,18:27:18,18:27:24,6,18:27:24,18:27:40,16,AGENT,18:27:39,18:28:57,78,1
32111,0,0,PS,990103,13:59:18,13:59:29,11,00:00:00,00:00:00,0,AGENT,13:59:28,14:09:03,575,1
32113,28626448,1,PS,990103,14:13:05,14:13:10,5,14:13:10,14:14:05,55,AGENT,14:14:05,14:15:29,84,1
32115,14264295,2,PS,990103,14:31:49,14:31:55,6,14:31:55,14:32:21,26,AGENT,14:32:21,14:34:07,106,1
32119,37570017,1,PS,990103,15:05:31,15:05:37,6,15:05:37,15:06:05,28,AGENT,15:06:03,15:09:43,220,1
32139,0,0,NW,990103,16:50:52,16:51:01,9,16:51:01,16:51:52,51,AGENT,16:51:51,16:52:45,54,1
32145,0,0,NW,990103,17:21:14,17:21:23,9,17:21:23,17:22:03,40,AGENT,17:22:03,17:23:43,100,1
33599,23530603,2,PS,990103,14:15:25,14:15:30,5,14:15:30,14:15:33,3,AGENT,14:15:33,14:16:41,68,1
33603,0,0,PS,990103,14:51:34,14:51:47,13,00:00:00,00:00:00,0,AGENT,14:51:46,14:55:58,252,1
33612,7376312,1,PS,990103,15:58:08,15:58:14,6,15:58:14,15:59:32,78,AGENT,15:59:32,16:00:17,45,1
33644,0,0,PS,990103,20:22:16,20:22:26,10,00:00:00,00:00:00,0,AGENT,20:22:25,20:24:26,121,1
34265,0,0,PS,990103,14:43:40,14:43:57,17,00:00:00,00:00:00,0,AGENT,14:43:56,14:45:54,118,1
34288,0,0,NW,990103,16:59:46,16:59:55,9,16:59:55,17:01:09,74,AGENT,17:01:08,17:01:24,16,1
